PropertyID,Price,LivingArea,Bedrooms,Bathrooms,Fireplaces,Age
3995,142212,1982,3,1,0,133
4462,134865,1676,3,1.5,1,14
4170,118007,1694,3,2,1,15
2682,138297,1800,2,1,2,49
4058,129470,2088,3,1,1,29
2674,206512,1456,3,2,0,10
4881,50709,960,2,1.5,0,12
3156,108794,1464,2,1,0,87
3976,68353,1216,2,1,0,101
1142,123266,1632,3,1.5,0,14
3474,309808,2270,3,2.5,2,9
3797,157946,1804,3,2.5,1,0
2309,80248,1600,3,1.5,0,16
1044,135708,1460,2,2,0,17
3180,173723,1548,3,2,1,0
3264,140510,1590,3,2.5,1,0
3862,122221,1170,4,1.5,0,26
1221,151917,1510,3,2.5,1,0
3043,235105,2299,4,2.5,1,6
4580,259999,2577,4,2.5,1,1
4653,211517,2328,4,2.5,1,10
2634,102068,1172,3,2.5,1,73
2098,128440,1554,3,1.5,0,103
4722,115659,1242,3,2,1,30
3629,145583,1376,3,2,1,25
4312,116289,1107,3,1,1,43
3009,238792,2250,4,2.5,1,10
2492,221925,2472,4,2,0,183
3826,310696,2843,4,2.5,1,5
2716,139079,1400,3,1.5,1,35
3151,109578,1342,2,1,1,41
2295,65325,813,2,1,0,68
4453,89893,1480,2,2.5,1,14
3745,87588,1392,2,1,0,17
2604,132311,1512,3,1.5,1,13
2047,131411,1512,3,1.5,1,13
2851,158863,1696,3,2.5,1,5
3024,130490,1595,3,2,1,6
4596,88207,1480,3,1.5,0,14
3054,178767,2291,4,2.5,1,0
4645,148246,1391,3,2,0,12
3941,205073,2501,4,2.5,0,0
1342,185323,1662,3,2,0,0
2439,71904,957,3,1,0,45
4625,82556,1480,3,1.5,1,14
4768,199684,2275,4,2.5,0,0
3175,122221,1440,3,1,1,32
3435,81762,1008,3,1,0,41
2737,84291,1480,2,2.5,1,14
1345,206512,2116,3,2.5,1,0
3392,105363,1100,3,1,1,93
2479,45004,960,2,1,0,11
2396,62105,1228,2,1,0,53
2126,103508,1560,3,1.5,1,16
2534,157513,2164,3,2,1,183
3663,79893,2634,4,2.5,0,83
1730,88770,1000,3,1,0,91
2247,115312,912,2,1,0,14
3841,118952,1572,3,1.5,0,16
3770,103861,1700,3,1,1,25
2504,112649,1350,3,1.5,0,26
3612,127385,1416,3,1.5,0,11
3389,153129,1560,3,2,1,4
4206,143808,1572,3,1.5,0,7
3777,133067,1326,4,2,0,7
4868,226742,1989,3,2,1,247
4017,98652,1158,3,1.5,0,14
3935,111394,1272,3,1.5,0,1
3438,101418,1852,4,2,1,37
1044,139219,2308,2,3,0,5
4803,115248,1700,2,2,0,15
4137,99574,1628,2,1.5,1,30
3249,224818,2738,2,2.5,1,12
3790,108459,1292,3,1.5,0,25
1598,107919,1056,2,2,0,7
2956,45904,1328,4,1,0,103
2050,83617,1272,4,1.5,0,115
2707,154723,1944,3,2.5,0,0
4587,101258,1232,3,1,1,43
1778,118949,1164,3,2,0,5
1330,128717,1215,3,1.5,0,41
1679,136379,1486,3,2.5,0,0
1194,124367,1272,3,1.5,0,1
2450,62938,1064,3,1,0,95
4767,172016,1547,3,2,0,11
2143,106524,1148,3,1,0,7
3540,147412,1821,3,2.5,0,0
4235,111221,1056,3,1,0,27
4368,75862,995,3,1,0,47
2606,109578,1176,3,2,0,5
4511,119166,912,2,1,0,68
2151,185318,1500,4,1.5,2,208
3199,104749,1852,4,1,0,147
3771,44674,1214,3,1,0,103
4135,80540,1380,2,1.5,0,0
2212,93773,1324,3,1.5,0,5
4542,109999,1218,3,1.5,1,0
4364,16858,1629,3,1,0,180
2222,114326,1053,3,1,1,41
4255,106524,1308,2,1,0,17
4486,160995,1344,2,1.5,1,15
1815,139079,1608,3,1,1,63
1685,59003,3285,5,2,0,233
1855,147425,1582,3,1.5,0,11
3728,144695,1642,3,2,1,11
1698,130229,1248,3,2,0,11
3468,119840,1411,3,1,1,48
2148,129723,1593,3,1,1,63
2013,133595,1666,3,2.5,1,1
