age,children,bmi,smoker,region,gender,bought
19,0,27.9,yes,southwest,female,yes
18,1,33.8,no,southeast,male,no
28,3,33,no,southeast,male,no
33,0,22.7,no,northwest,male,no
32,0,28.9,no,northwest,male,no
31,0,25.7,no,southeast,female,no
46,1,33.4,no,southeast,female,yes
37,3,27.7,no,northwest,female,yes
37,2,29.8,no,northeast,male,yes
60,0,25.8,no,northwest,female,no
25,0,26.2,no,northeast,male,no
62,0,26.3,yes,southeast,female,yes
23,0,34.4,no,southwest,male,no
56,0,39.8,no,southeast,female,yes
27,0,42.1,yes,southeast,male,no
19,1,24.6,no,southwest,male,no
52,1,30.8,no,northeast,female,yes
23,0,23.8,no,northeast,male,no
56,0,40.3,no,southwest,male,yes
30,0,35.3,yes,southwest,male,no
60,0,36,no,northeast,female,yes
30,1,32.4,no,southwest,female,no
18,0,34.1,no,southeast,male,no
34,1,31.9,yes,northeast,female,no
37,2,28,no,northwest,male,yes
59,3,27.7,no,southeast,female,yes
63,0,23.1,no,northeast,female,yes
55,2,32.8,no,northwest,female,yes
23,1,17.4,no,northwest,male,no
31,2,36.3,yes,southwest,male,no
22,0,35.6,yes,southwest,male,no
18,0,26.3,no,northeast,female,no
19,5,28.6,no,southwest,female,no
63,0,28.3,no,northwest,male,yes
28,1,36.4,yes,southwest,male,no
19,0,20.4,no,northwest,male,no
62,3,33,no,northwest,female,yes
26,0,20.8,no,southwest,male,no
35,1,36.7,yes,northeast,male,yes
60,0,39.9,yes,southwest,male,yes
24,0,26.6,no,northeast,female,no
31,2,36.6,no,southeast,female,no
41,1,21.8,no,southeast,male,yes
37,2,30.8,no,southeast,female,yes
38,1,37.1,no,northeast,male,yes
55,0,37.3,no,southwest,male,yes
18,2,38.7,no,northeast,female,no
28,0,34.8,no,northwest,female,no
60,0,24.5,no,southeast,female,yes
36,1,35.2,yes,southeast,male,yes
18,0,35.6,no,northeast,female,no
21,2,33.6,no,northwest,female,no
48,1,28,yes,southwest,male,yes
36,0,34.4,yes,southeast,male,yes
40,3,28.7,no,northwest,female,yes
58,2,37,yes,northwest,male,yes
58,2,31.8,no,northeast,female,yes
18,2,31.7,yes,southeast,male,no
53,1,22.9,yes,southeast,female,yes
34,2,37.3,no,northwest,female,no
43,3,27.4,no,northeast,male,yes
25,4,33.7,no,southeast,male,no
64,1,24.7,no,northwest,male,yes
28,1,25.9,no,northwest,female,no
20,0,22.4,yes,northwest,female,no
19,0,28.9,no,southwest,female,no
61,2,39.1,no,southwest,female,yes
40,1,26.3,no,northwest,male,yes
40,0,36.2,no,southeast,female,yes
28,3,24,yes,southeast,male,no
27,0,24.8,yes,southeast,female,no
31,5,28.5,no,northeast,male,no
53,3,28.1,no,southwest,female,yes
58,1,32,no,southeast,male,yes
44,2,27.4,no,southwest,male,yes
57,0,34,no,northwest,male,yes
29,1,29.6,no,southeast,female,no
21,0,35.5,no,southeast,male,no
22,0,39.8,no,northeast,female,no
41,0,33,no,northwest,female,yes
31,1,26.9,no,northeast,male,no
45,0,38.3,no,northeast,female,yes
22,1,37.6,yes,southeast,male,no
48,4,41.2,no,northwest,female,yes
37,2,34.8,yes,southwest,female,yes
45,2,22.9,yes,northwest,male,yes
57,0,31.2,yes,northwest,female,yes
56,0,27.2,no,southwest,female,yes
46,0,27.7,no,northwest,female,yes
55,0,27,no,northwest,female,yes
21,0,39.5,no,southeast,female,no
53,1,24.8,no,northwest,female,yes
59,3,29.8,yes,northeast,male,yes
35,2,34.8,no,northwest,male,yes
64,2,31.3,yes,southwest,female,yes
28,1,37.6,no,southeast,female,no
54,3,30.8,no,southwest,female,yes
55,0,38.3,no,southeast,male,yes
56,0,20,yes,northeast,male,yes
38,0,19.3,yes,southwest,male,yes
41,0,31.6,no,southwest,female,yes
30,0,25.5,no,northeast,male,no
18,0,30.1,no,northeast,female,no
61,3,29.9,yes,southeast,female,yes
34,1,27.5,no,southwest,female,no
20,1,28,yes,northwest,male,no
19,1,28.4,no,southwest,female,no
26,2,30.9,no,northwest,male,no
29,0,27.9,no,southeast,male,no
63,0,35.1,yes,southeast,male,yes
54,1,33.6,no,northwest,male,yes
55,2,29.7,no,southwest,female,yes
37,0,30.8,no,southwest,male,yes
21,0,35.7,no,northwest,female,no
52,3,32.2,no,northeast,male,yes
60,0,28.6,no,northeast,male,yes
58,0,49.1,no,southeast,male,yes
29,1,27.9,yes,southeast,female,no
49,0,27.2,no,southeast,female,yes
37,2,23.4,no,northwest,female,yes
44,2,37.1,no,southwest,male,yes
18,0,23.8,no,northeast,male,no
20,0,29,no,northwest,female,no
44,1,31.4,yes,northeast,male,yes
47,3,33.9,no,northwest,female,yes
26,0,28.8,no,northeast,female,no
19,0,28.3,yes,southwest,female,no
52,0,37.4,no,southwest,female,yes
32,2,17.8,yes,northwest,female,no
38,2,34.7,no,southwest,male,yes
59,0,26.5,no,northeast,female,yes
61,0,22,no,northeast,female,yes
53,2,35.9,no,southwest,female,yes
19,0,25.6,no,northwest,male,no
20,0,28.8,no,northeast,female,no
22,0,28.1,no,southeast,female,no
19,0,34.1,no,southwest,male,no
22,0,25.2,no,northwest,male,no
